gene_id	gene_name	entrezid	gene_biotype	gene_seq_start	gene_seq_end	seq_name	seq_strand	seq_coord_system
ENSG00000235001	EIF4A1P2		pseudogene	5205786	5207005	Y	-1	chromosome
ENSG00000235004	USP9YP30		pseudogene	27869163	27870333	Y	1	chromosome
ENSG00000235014	REREP2Y		pseudogene	28344478	28354295	Y	-1	chromosome
ENSG00000235059	AC008175.1	101929148	lincRNA	24585087	24631739	Y	1	chromosome
ENSG00000235094	AC006335.10		pseudogene	6174083	6175961	Y	1	chromosome
ENSG00000235175	RPL26P37		pseudogene	5661341	5661778	Y	-1	chromosome
ENSG00000235193	AC006987.4		pseudogene	9925635	9927195	Y	1	chromosome
ENSG00000235412	TTTY4B	474149;474150;114761	lincRNA	26716349	26753172	Y	1	chromosome
ENSG00000235451	PNPLA4P1		pseudogene	16192955	16198480	Y	1	chromosome
ENSG00000235462	TAB3P1		pseudogene	15265842	15274125	Y	-1	chromosome
ENSG00000235479	RAB9AP4		pseudogene	20811557	20812165	Y	1	chromosome
ENSG00000235511	OFD1P18Y		pseudogene	28018078	28044800	Y	-1	chromosome
ENSG00000235521	USP9YP27		pseudogene	19900195	19901364	Y	-1	chromosome
ENSG00000235583	AC007562.1		pseudogene	27658448	27673933	Y	-1	chromosome
ENSG00000235649	MXRA5P1		pseudogene	14077914	14108092	Y	1	chromosome
ENSG00000235691	AC006987.5		pseudogene	9928411	9928816	Y	1	chromosome
ENSG00000235719	AC010141.1		pseudogene	23627270	23629049	Y	-1	chromosome
ENSG00000235857	CTBP2P1		pseudogene	59001391	59001635	Y	1	chromosome
ENSG00000235895	AC010154.2		pseudogene	6361017	6364798	Y	-1	chromosome
ENSG00000235981	AC023274.4		pseudogene	26288505	26303990	Y	1	chromosome
ENSG00000236131	MED13P1		pseudogene	17019778	17019948	Y	1	chromosome
ENSG00000236379	ZNF736P4Y		pseudogene	27314746	27315988	Y	1	chromosome
ENSG00000236424	TSPY10	728137;100289087;7258	protein_coding	9365489	9368291	Y	1	chromosome
ENSG00000236429	GPM6BP2		pseudogene	20903729	20903872	Y	-1	chromosome
ENSG00000236435	TSPY12P		pseudogene	7555780	7557589	Y	-1	chromosome
ENSG00000236477	RPS24P1		pseudogene	14365457	14366162	Y	1	chromosome
ENSG00000236599	TCEB1P26		pseudogene	20340818	20341146	Y	-1	chromosome
ENSG00000236615	AC010086.5		pseudogene	23567656	23567881	Y	1	chromosome
ENSG00000236620	XKRYP3		pseudogene	25862069	25872955	Y	-1	chromosome
ENSG00000236647	AC009947.5		pseudogene	25695956	25697532	Y	1	chromosome
ENSG00000236690	AC007274.5		pseudogene	7558552	7560719	Y	1	chromosome
ENSG00000236718	RBMY2QP		pseudogene	9860098	9871796	Y	-1	chromosome
ENSG00000236786	TSPY15P		pseudogene	9385717	9388290	Y	1	chromosome
ENSG00000236951	AC007359.6	101929148	lincRNA	24246961	24293631	Y	-1	chromosome
ENSG00000237023	USP9YP3		pseudogene	23823812	23835894	Y	1	chromosome
ENSG00000237048	TTTY12	83867	lincRNA	7672965	7678724	Y	1	chromosome
ENSG00000237069	TTTY23B	252955;100101121	lincRNA	6110487	6111651	Y	-1	chromosome
ENSG00000237195	DLGAP5P1		pseudogene	6026843	6027306	Y	1	chromosome
ENSG00000237269	RBMY2TP		pseudogene	23592583	23599131	Y	-1	chromosome
ENSG00000237302	OFD1P11Y		pseudogene	25917379	25944297	Y	1	chromosome
ENSG00000237427	TOMM22P1		pseudogene	23292756	23293067	Y	1	chromosome
ENSG00000237447	CDC27P2		pseudogene	10027986	10029907	Y	-1	chromosome
ENSG00000237467	USP9YP35		pseudogene	26223946	26225959	Y	1	chromosome
ENSG00000237546	XKRYP6		pseudogene	28089415	28100299	Y	1	chromosome
ENSG00000237558	CDY7P		pseudogene	20063469	20065380	Y	1	chromosome
ENSG00000237563	TTTY21B	252953;100101115	lincRNA	6311475	6315118	Y	1	chromosome
ENSG00000237616	USP9YP32		pseudogene	20107081	20109132	Y	-1	chromosome
ENSG00000237659	RNASEH2CP1		pseudogene	2657868	2658369	Y	1	chromosome
ENSG00000237701	ATP5JP1		pseudogene	6768794	6769413	Y	1	chromosome
ENSG00000237802	FAM197Y6	100289188	antisense	9225731	9233636	Y	-1	chromosome
ENSG00000237823	CDY19P		pseudogene	27710269	27712180	Y	-1	chromosome
ENSG00000237902	TSPY21P		pseudogene	24546550	24548715	Y	-1	chromosome
ENSG00000237917	PARP4P1		pseudogene	28740998	28780799	Y	-1	chromosome
ENSG00000237968	AC007322.7		pseudogene	24086159	24087740	Y	1	chromosome
ENSG00000237997	RCC2P2		pseudogene	22148461	22149738	Y	-1	chromosome
ENSG00000238067	XKRYP1		pseudogene	20670463	20670954	Y	1	chromosome
ENSG00000238073	RBMY2HP		pseudogene	7539784	7544065	Y	-1	chromosome
ENSG00000238074	TSPY6P	7258	protein_coding	9324922	9327689	Y	1	chromosome
ENSG00000238088	OFD1P7Y		pseudogene	21010150	21029166	Y	1	chromosome
ENSG00000238135	USP9YP10		pseudogene	20987993	20991373	Y	1	chromosome
ENSG00000238154	USP9YP4		pseudogene	9027238	9042220	Y	-1	chromosome
ENSG00000238191	CLUHP1		pseudogene	19733139	19737712	Y	-1	chromosome
ENSG00000238235	TSPY11P		pseudogene	6134634	6137316	Y	1	chromosome
ENSG00000239225	TTTY23	252955;100101121	lincRNA	9748407	9749571	Y	1	chromosome
ENSG00000239304	DNM1P48		pseudogene	27632787	27633469	Y	1	chromosome
ENSG00000239533	GOLGA2P2Y		processed_transcript	26356114	26360978	Y	-1	chromosome
ENSG00000239893	ZNF736P9Y		pseudogene	7936937	7938764	Y	-1	chromosome
ENSG00000240438	OFD1P5Y		pseudogene	20743949	20790963	Y	-1	chromosome
ENSG00000240450	CSPG4P1Y	114758	lincRNA	27629055	27632852	Y	1	chromosome
ENSG00000240566	AC010153.3		pseudogene	26796955	26797681	Y	1	chromosome
ENSG00000241200	ZNF736P7Y		pseudogene	7859028	7859847	Y	-1	chromosome
ENSG00000241859	KALP		pseudogene	15863536	16027704	Y	1	chromosome
ENSG00000242153	OFD1P6Y	83864;425057	pseudogene	20835919	20901083	Y	1	chromosome
ENSG00000242389	RBMY1E	378949;378950	protein_coding	24026223	24064214	Y	-1	chromosome
ENSG00000242393	AC010141.4		pseudogene	23670185	23672356	Y	-1	chromosome
ENSG00000242425	RN7SL818P		misc_RNA	26357107	26357382	Y	-1	chromosome
ENSG00000242854	DNM1P24		pseudogene	26325463	26329652	Y	-1	chromosome
ENSG00000242875	RBMY1B	378949;378948	protein_coding	23673224	23687672	Y	1	chromosome
ENSG00000242879	AC006335.11		pseudogene	6175751	6177628	Y	1	chromosome
ENSG00000243040	RBMY2FP	159162;100652931	pseudogene	24455006	24467972	Y	1	chromosome
ENSG00000243643	TSPY20P		pseudogene	9873804	9875984	Y	1	chromosome
ENSG00000243980	RN7SL702P		misc_RNA	14394177	14394465	Y	1	chromosome
ENSG00000244000	AC006366.3		pseudogene	25163210	25163968	Y	1	chromosome
ENSG00000244231	CSPG4P2Y	114758	processed_transcript	26329581	26333378	Y	-1	chromosome
ENSG00000244246	ZNF736P8Y		pseudogene	7781463	7782131	Y	-1	chromosome
ENSG00000244395	RBMY1D	378949;5940;378948	protein_coding	24026223	24040673	Y	-1	chromosome
ENSG00000244646	AC024183.3		pseudogene	20290496	20298913	Y	1	chromosome
ENSG00000248573	PRYP6		pseudogene	20952595	20952937	Y	-1	chromosome
ENSG00000248792	LINC00266-2P		pseudogene	26424828	26437493	Y	1	chromosome
ENSG00000249501	USP9YP2		pseudogene	20938165	20941313	Y	-1	chromosome
ENSG00000249606	TRAPPC2P7		pseudogene	20817406	20818076	Y	-1	chromosome
ENSG00000249634	USP9YP5		pseudogene	20652801	20656181	Y	-1	chromosome
ENSG00000249726	TUBB1P1		pseudogene	20548860	20551037	Y	1	chromosome
ENSG00000250204	AC006335.6		pseudogene	6111336	6113324	Y	-1	chromosome
ENSG00000250868	AC007742.7		pseudogene	19880862	19889280	Y	-1	chromosome
ENSG00000250951	USP9YP1		pseudogene	20702866	20706014	Y	1	chromosome
ENSG00000251275	AC006335.2		pseudogene	6109809	6111670	Y	-1	chromosome
ENSG00000251510	AC022486.1		lincRNA	20653626	20709584	Y	1	chromosome
ENSG00000251618	AC007322.3		pseudogene	24041541	24043706	Y	1	chromosome
ENSG00000251705	RNA5-8SP6		rRNA	10037764	10037915	Y	1	chromosome
ENSG00000251766	RNA5SP518		rRNA	9928019	9928137	Y	-1	chromosome
ENSG00000251796	SNORA70		snoRNA	28393531	28393668	Y	1	chromosome
ENSG00000251841	RNU6-1334P		snRNA	2652790	2652894	Y	1	chromosome
ENSG00000251879	AC010874.1		miRNA	5742287	5742379	Y	1	chromosome
ENSG00000251917	RNU1-86P		snRNA	26092765	26092918	Y	-1	chromosome
ENSG00000251925	SNORA70		snoRNA	25569246	25569383	Y	-1	chromosome
ENSG00000251953	RNA5SP522		rRNA	20508009	20508124	Y	-1	chromosome
ENSG00000251966	AC010970.1		miRNA	10033981	10034093	Y	1	chromosome
ENSG00000251970	RNU1-41P		snRNA	20995615	20995776	Y	-1	chromosome
ENSG00000251996	Y_RNA		misc_RNA	7209572	7209683	Y	1	chromosome
ENSG00000252012	RNA5SP521		rRNA	19671654	19671769	Y	1	chromosome
ENSG00000252038	AC068704.1		miRNA	19734941	19735035	Y	-1	chromosome
ENSG00000252059	AC012667.1		miRNA	5441969	5442060	Y	1	chromosome
ENSG00000252155	RNU6-941P		snRNA	7246713	7246820	Y	1	chromosome
ENSG00000252166	RNU1-95P		snRNA	20278734	20278893	Y	1	chromosome
ENSG00000252173	RNU6-109P		snRNA	18360815	18360921	Y	1	chromosome
ENSG00000252209	RNU1-48P		snRNA	20648397	20648558	Y	1	chromosome
ENSG00000252289	RNA5SP519		rRNA	9930484	9930602	Y	-1	chromosome
ENSG00000252315	RNA5SP520		rRNA	19669744	19669856	Y	1	chromosome
ENSG00000252323	RNU6-184P		snRNA	18448163	18448269	Y	-1	chromosome
ENSG00000252426	RNU1-107P		snRNA	27869489	27869642	Y	1	chromosome
ENSG00000252439	AC007241.1		miRNA	20444739	20444833	Y	1	chromosome
ENSG00000252468	RNU2-57P		snRNA	4887117	4887307	Y	1	chromosome
ENSG00000252471	AC006328.1		miRNA	27606157	27606239	Y	1	chromosome
ENSG00000252472	RNU6-521P		snRNA	7291095	7291199	Y	-1	chromosome
ENSG00000252513	RNU1-128P		snRNA	19900883	19901042	Y	-1	chromosome
ENSG00000252586	AC002992.1		miRNA	14482123	14482230	Y	1	chromosome
ENSG00000252625	RNU1-40P		snRNA	28075126	28075289	Y	1	chromosome
ENSG00000252633	RN7SKP282		misc_RNA	7192338	7192636	Y	-1	chromosome
ENSG00000252664	AC017020.1		miRNA	18174646	18174709	Y	1	chromosome
ENSG00000252667	RNA5SP523		rRNA	20509921	20510033	Y	-1	chromosome
ENSG00000252681	RNU1-97P		snRNA	25887089	25887252	Y	-1	chromosome
ENSG00000252689	SNORA20		snoRNA	18250128	18250259	Y	-1	chromosome
ENSG00000252694	AC006371.1		miRNA	15779840	15779936	Y	-1	chromosome
ENSG00000252766	RNU6-255P		snRNA	21180869	21180973	Y	-1	chromosome
ENSG00000252855	AC134878.1		miRNA	13340551	13340633	Y	-1	chromosome
ENSG00000252900	RNU6-303P		snRNA	4043026	4043131	Y	-1	chromosome
ENSG00000252948	RNU6-1314P		snRNA	28507136	28507239	Y	1	chromosome
ENSG00000254488	RP11-65G9.1		lincRNA	23200175	23206610	Y	-1	chromosome
ENSG00000258567	DUX4L16		pseudogene	13462594	13463857	Y	1	chromosome
ENSG00000258991	DUX4L19		pseudogene	13488005	13489271	Y	1	chromosome
ENSG00000258992	TSPY1	7258	protein_coding	9236076	9307357	Y	1	chromosome
ENSG00000259029	DUX4L18		pseudogene	13477233	13478499	Y	1	chromosome
ENSG00000259154	DUX4L17		pseudogene	13470597	13471863	Y	1	chromosome
ENSG00000259247	TTTY25P		pseudogene	24476599	24478647	Y	1	chromosome
ENSG00000260197	RP11-424G14.1		lincRNA	21853827	21856492	Y	-1	chromosome
ENSG00000263502	AC134878.2		miRNA	13340359	13340440	Y	-1	chromosome
ENSG00000265161	AC011293.1		miRNA	13947443	13947512	Y	-1	chromosome
ENSG00000265197	AC053516.1		miRNA	18398127	18398238	Y	-1	chromosome
ENSG00000266220	AC010723.2		miRNA	16364065	16364171	Y	-1	chromosome
ENSG00000267793	RP11-576C2.1		pseudogene	21760074	21760643	Y	1	chromosome
ENSG00000267935	AC016752.1		protein_coding	25847479	25850592	Y	1	chromosome
ENSG00000269084	AC009977.1		protein_coding	21737895	21738068	Y	-1	chromosome
ENSG00000269291	AC010877.1		protein_coding	15418467	15429181	Y	1	chromosome
ENSG00000269393	AC007965.1		protein_coding	28111776	28114889	Y	-1	chromosome
ENSG00000269464	AC012067.1		protein_coding	5306691	5312605	Y	-1	chromosome
ENSG00000270073	AC006156.2		pseudogene	9345205	9347784	Y	1	chromosome
ENSG00000270242	RP11-295P22.1		pseudogene	13551375	13552752	Y	1	chromosome
ENSG00000270455	PABPC1P5		pseudogene	13491303	13493369	Y	1	chromosome
ENSG00000270535	TCEB1P34		pseudogene	27809047	27809373	Y	1	chromosome
ENSG00000270570	RP1-85D24.1		pseudogene	13263395	13263563	Y	-1	chromosome
ENSG00000271123	TCEB1P5		pseudogene	23793569	23793901	Y	-1	chromosome
ENSG00000271309	RP1-85D24.2		pseudogene	13263065	13263272	Y	-1	chromosome
ENSG00000271365	RP1-85D24.3		pseudogene	13262741	13262939	Y	-1	chromosome
ENSG00000271375	RP11-295P22.2		pseudogene	13629403	13629913	Y	-1	chromosome
ENSG00000271595	TCEB1P35		pseudogene	19576759	19577094	Y	-1	chromosome
ENSG00000272042	Metazoa_SRP		misc_RNA	27605054	27605329	Y	1	chromosome
